"name","email","roles"
"Admin User","admin@example.com","admin"
"Support User","support@example.com","support"
"Prevention User","prevention@example.com","prevention"
"Test User","test@example.com","user"
"Bruno Castillo","juty@mailinator.com","support"
"Sigourney Vinson","pyqywuhal@mailinator.com","admin"
"Emi Lopez","vybo@mailinator.com","user"
"Dillon Peters","paseqyzami@mailinator.com","admin"
"Caldwell Burke","sexon@mailinator.com","admin"
"Scott Cummings","lytomujana@mailinator.com","support"
"Anthony Todd","pijugoqa@mailinator.com","prevention"
"Sara Scott","zytywu@mailinator.com","support"
"Octavius Strong","jipu@mailinator.com","admin"
"Aaron Bridges","bepi@mailinator.com","support"
"Kim Livingston","gugewofop@mailinator.com","support"
